GEOID20,District
080010094081011,7
080010094081012,7
080010094081013,7
080010094081014,7
080010094081015,7
080010094081016,7
080010094081017,7
080010094081018,7
080010094081019,7
080010094081022,7
080010094081023,7
080010094081024,7
080010094081025,7
080010094081026,7
080010094081027,7
080010094081028,7
080010094081029,7
080010094081030,7
080010094081032,7
080010094081033,7
080010094081034,7
080010094081035,7
080010094081036,7
080010094081037,7
080010094081038,7
080010094081039,7
080010094082000,7
080010094082001,7
080010094082002,7
080010094082003,7
080010094082004,7
080010094082005,7
080010094082006,7
080010094082007,7
080010094082008,7
080010094082009,7
080010094082010,7
080010094082011,7
080010094082012,7
080010094082013,7
080010094082014,7
080010094082015,7
080010094082016,7
080010094082017,7
080010094082019,7
080010094082020,7
080010094082021,7
080010094082022,7
080010094082023,7
080010094082024,7
080010093262000,7
080010093262001,7
080010093262002,7
080010093262003,7
080010093262004,7
080010093262005,7
080010093262006,7
080010093262007,7
080010093262008,7
080010093262009,7
080010093262010,7
080010093262011,7
080010093262012,7
080010093262013,7
080010093262014,7
080010093261000,7
080010093261001,7
080010093261002,7
080010093261003,7
080010093261004,7
080010093261005,7
080010093261006,7
080010093261007,7
080010093261008,7
080010093261009,7
080010093261010,7
080010093262015,7
080010094091000,7
080010094091001,7
080010094091002,7
080010094091003,7
080010094091004,7
080010094091005,7
080010094091006,7
080010094091007,7
080010094091008,7
080010094091018,7
080010094091019,7
080010094091020,7
080010094091021,7
080010094091022,7
080010094091023,7
080010094091024,7
080010094091025,7
080010094091030,7
080010094091031,7
080010094091032,7
080010094091033,7
080010094091034,7
080010093272000,7
080010093272001,7
080010093272002,7
080010093272003,7
080010093272004,7
080010093272005,7
080010093272006,7
080010093272007,7
080010093272008,7
080010093272009,7
080010093272010,7
080010093272024,7
080010093273000,7
080010093273001,7
080010093273002,7
080010093273003,7
080010093273004,7
080010093273005,7
080010093273006,7
080010093274000,7
080010093274001,7
080010093274002,7
080010093274003,7
080010093274004,7
080010093274005,7
080010093274006,7
080010093231000,7
080010093231001,7
080010093231002,7
080010093231008,7
080010093231009,7
080010093231011,7
080010093231012,7
080010093231013,7
080010093231014,7
080010093231015,7
080010093231016,7
080010093231017,7
080010093231018,7
080010093231019,7
080010093231020,7
080010093231021,7
080010093231022,7
080010093231023,7
080010093231024,7
080010093231025,7
080010093232000,7
080010093232001,7
080010093232002,7
080010093233000,7
080010093233001,7
080010093233002,7
080010093233003,7
080010093233004,7
080010093233005,7
080010093233006,7
080010093233007,7
080010093233008,7
080010093233009,7
080010093233010,7
080010093233011,7
080010093233012,7
080010093233013,7
080010093233014,7
080010093233015,7
080010093234000,7
080010093234001,7
080010093234002,7
080010093234003,7
080010085051000,7
080010085051001,7
080010085051002,7
080010085051003,7
080010085051004,7
080010085051005,7
080010085051006,7
080010085051007,7
080010085051008,7
080010085051009,7
080010085051010,7
080010085051011,7
080010085051012,7
080010085051013,7
080010085051014,7
080010085056001,7
080010085056002,7
080010085056003,7
080010085056004,7
080010085056005,7
080010085056006,7
080010085056007,7
080010085056008,7
080010092032000,7
080010085052000,7
080010085052001,7
080010085052002,7
080010085052003,7
080010085052004,7
080010085052005,7
080010085052006,7
080010085052007,7
080010085052008,7
080010085052009,7
080010085052010,7
080010085052011,7
080010085052012,7
080010085052013,7
080010085052014,7
080010085052015,7
080010085056000,7
080010085056009,7
080010085056010,7
080010085056011,7
080010085056012,7
080010092031001,7
080010085053000,7
080010085053001,7
080010085053002,7
080010085053003,7
080010085053004,7
080010085053005,7
080010085053006,7
080010085053007,7
080010085053008,7
080010085053009,7
080010085053010,7
080010085053011,7
080010085053012,7
080010085053013,7
080010085053014,7
080010085053015,7
080010085053016,7
080010085053017,7
080010085053018,7
080010085053019,7
080010085054000,7
080010085054001,7
080010085054002,7
080010085054003,7
080010085054004,7
080010085332000,7
080010085332001,7
080010085334000,7
080010085334001,7
080010085334002,7
080010085334003,7
080010085334004,7
080010085054005,7
080010085054006,7
080010085054007,7
080010085054008,7
080010085054009,7
080010085054010,7
080010085054011,7
080010085054012,7
080010085054013,7
080010085054014,7
080010085055000,7
080010085055001,7
080010085055002,7
080010085055003,7
080010085055004,7
080010085055005,7
080010085055006,7
080010085055007,7
080010085055008,7
080010085055009,7
080010085055010,7
080010085055011,7
080010085055012,7
080010085055013,7
080010093221001,7
080010093221002,7
080010093221003,7
080010093221022,7
080010093271000,7
080010093271001,7
080010093271002,7
080010093271003,7
080010093271004,7
080010093271005,7
080010093271006,7
080010093271007,7
080010093271008,7
080010093271009,7
080010093271010,7
080010093271011,7
080010093271012,7
080010093271013,7
080010093271014,7
080010093271015,7
080010093272011,7
080010093272012,7
080010093272013,7
080010093272014,7
080010093272015,7
080010093272016,7
080010093272017,7
080010093272018,7
080010093272019,7
080010093272020,7
080010093272021,7
080010093272022,7
080010093272023,7
080010093273007,7
080010093041000,7
080010093041001,7
080010093041002,7
080010093041003,7
080010093041004,7
080010093041005,7
080010093041006,7
080010093041007,7
080010093041008,7
080010093041009,7
080010093041010,7
080010093041011,7
080010093041012,7
080010093044000,7
080010093044001,7
080010093044002,7
080010093044003,7
080010093044004,7
080010093044005,7
080010093044007,7
080010093044008,7
080010093044009,7
080010093044010,7
080010093044011,7
080010093044012,7
080010093044013,7
080010093044014,7
080010093044017,7
080010093044018,7
080010093044019,7
080010093042000,7
080010093042001,7
080010093042002,7
080010093042003,7
080010093042004,7
080010093042005,7
080010093042006,7
080010093042007,7
080010093042008,7
080010093042009,7
080010093042010,7
080010093042011,7
080010093042012,7
080010093042013,7
080010093042014,7
080010093042015,7
080010093042016,7
080010093042017,7
080010093042018,7
080010093042019,7
080010093045000,7
080010093045001,7
080010093045002,7
080010093045003,7
080010093045004,7
080010093045005,7
080010093045006,7
080010093045007,7
080010093045008,7
080010093045009,7
080010093045010,7
080010093161000,7
080010093221000,7
080010093221004,7
080010093162002,7
080010093162003,7
080010093162004,7
080010093162005,7
080010093162006,7
080010093162007,7
080010093162008,7
080010093162009,7
080010093162010,7
080010093162011,7
080010093162012,7
080010093162013,7
080010093162014,7
080010093162015,7
080010093162016,7
080010093222001,7
080010093222002,7
080010093222003,7
080010093222004,7
080010093222005,7
080010093222006,7
080010093222007,7
080010093222008,7
080010093222009,7
080010093222010,7
080010093222011,7
080010093222012,7
080010093222013,7
080010093222014,7
080010093222015,7
080010093222016,7
080010093222017,7
080010093222018,7
080010093222019,7
080010093222020,7
080010093222021,7
080010093222022,7
080010093222023,7
080010093222024,7
080010093222025,7
080010093222026,7
080010093222027,7
080010093222028,7
